1,"execCode(workStation,root)","OR",0
2,"RULE 4 (Trojan horse installation)","AND",0
3,"accessFile(workStation,write,'/usr/local/share')","OR",0
4,"RULE 16 (NFS semantics)","AND",0
5,"accessFile(fileServer,write,'/export')","OR",0
6,"RULE 10 (execCode implies file access)","AND",0
7,"canAccessFile(fileServer,root,write,'/export')","LEAF",1
8,"execCode(fileServer,root)","OR",0
9,"RULE 2 (remote exploit of a server program)","AND",0
10,"netAccess(fileServer,rpc,100005)","OR",0
11,"RULE 5 (multi-hop access)","AND",0
12,"hacl(webServer,fileServer,rpc,100005)","LEAF",1
13,"execCode(webServer,apache)","OR",0
14,"RULE 2 (remote exploit of a server program)","AND",0
15,"netAccess(webServer,tcp,80)","OR",0
16,"RULE 6 (direct network access)","AND",0
17,"hacl(internet,webServer,tcp,80)","LEAF",1
18,"attackerLocated(internet)","LEAF",1
19,"networkServiceInfo(webServer,httpd,tcp,80,apache)","LEAF",1
20,"vulExists(webServer,'CAN-2002-0392',httpd,remoteExploit,privEscalation)","LEAF",1
21,"networkServiceInfo(fileServer,mountd,rpc,100005,root)","LEAF",1
22,"vulExists(fileServer,vulID,mountd,remoteExploit,privEscalation)","LEAF",1
23,"RULE 17 (NFS shell)","AND",0
24,"hacl(webServer,fileServer,nfsProtocol,nfsPort)","LEAF",1
25,"nfsExportInfo(fileServer,'/export',write,webServer)","LEAF",1
26,"nfsMounted(workStation,'/usr/local/share',fileServer,'/export',read)","LEAF",1
